fips_st,state_name,state_abb,pov_2021,c_fins_2021,oa_fins_2021,s_fins_2021,o_fins_2021,cnt_o_fins_2021,pov_rank,pov_bin,cnt_pop_o_fins_2021,,,,,,
1,Alabama,AL,0.163,0.18,0.14,0.09,0.15,"746,550",6,High,4147500,,,,,,
2,Alaska,AK,0.108,0.13,0.08,0.08,0.11,"78,260",36,Low,602000,,,,,,
4,Arizona,AZ,0.129,0.14,0.09,0.07,0.1,"751,690",20,Medium,5369214.286,,,,,,
5,Arkansas,AR,0.16,0.19,0.2,0.08,0.16,"467,550",8,High,2460789.474,,,,,,
6,California,CA,0.123,0.14,0.1,0.07,0.11,"4,104,060",22,Medium,29314714.29,,,,,,
8,Colorado,CO,0.097,0.11,0.08,0.07,0.09,"533,650",48,Low,4851363.636,,,,,,
9,Connecticut,CT,0.101,0.12,0.09,0.06,0.11,"380,310",46,Low,3169250,,,,,,
10,Delaware,DE,0.115,0.14,0.15,0.06,0.1,"99,530",31,Medium,710928.5714,,,,,,
11,District of Columbia,DC,0.168,0.14,0.1,0.11,0.1,"68,900",4,High,492142.8571,,,,,,
12,Florida,FL,0.132,0.14,0.07,0.09,0.11,"2,314,370",18,Medium,16531214.29,,,,,,
13,Georgia,GA,0.142,0.13,0.09,0.08,0.11,"1,156,660",11,High,8897384.615,,,,,,
15,Hawaii,HI,0.109,0.18,0.08,0.04,0.12,"170,970",34,Medium,949833.3333,,,,,,
16,Idaho,ID,0.108,0.09,0.09,0.05,0.08,"156,640",36,Low,1740444.444,,,,,,
17,Illinois,IL,0.121,0.11,0.09,0.08,0.1,"1,201,290",24,Medium,10920818.18,,,,,,
18,Indiana,IN,0.121,0.13,0.1,0.06,0.11,"730,480",24,Medium,5619076.923,,,,,,
19,Iowa,IA,0.11,0.09,0.07,0.04,0.08,"238,290",33,Medium,2647666.667,,,,,,
20,Kansas,KS,0.116,0.13,0.08,0.05,0.1,"291,430",30,Medium,2241769.231,,,,,,
21,Kentucky,KY,0.163,0.15,0.15,0.07,0.13,"579,770",6,High,3865133.333,,,,,,
22,Louisiana,LA,0.195,0.22,0.08,0.13,0.15,"683,110",1,High,3105045.455,,,,,,
23,Maine,ME,0.112,0.15,0.05,0.04,0.11,"144,290",32,Medium,961933.3333,,,,,,
24,Maryland,MD,0.103,0.12,0.1,0.07,0.1,"600,970",42,Low,5008083.333,,,,,,
25,Massachusetts,MA,0.104,0.08,0.09,0.06,0.08,"564,030",41,Low,7050375,,,,,,
26,Michigan,MI,0.13,0.13,0.09,0.06,0.12,"1,177,820",19,Medium,9060153.846,,,,,,
27,Minnesota,MN,0.093,0.09,0.05,0.04,0.07,"390,000",49,Low,4333333.333,,,,,,
28,Mississippi,MS,0.192,0.19,0.13,0.13,0.16,"480,600",2,High,2529473.684,,,,,,
29,Missouri,MO,0.128,0.13,0.13,0.08,0.12,"715,170",21,Medium,5501307.692,,,,,,
30,Montana,MT,0.12,0.12,0.09,0.04,0.09,"93,720",27,Medium,781000,,,,,,
31,Nebraska,NE,0.105,0.12,0.13,0.05,0.1,"195,670",40,Low,1630583.333,,,,,,
32,Nevada,NV,0.14,0.19,0.11,0.05,0.13,"409,540",13,High,2155473.684,,,,,,
33,New Hampshire,NH,0.074,0.09,0.04,0.03,0.07,"93,940",51,Low,1043777.778,,,,,,
34,New Jersey,NJ,0.102,0.1,0.11,0.06,0.09,"812,440",44,Low,8124400,,,,,,
35,New Mexico,NM,0.177,0.19,0.13,0.06,0.14,"285,220",3,High,1501157.895,,,,,,
36,New York,NY,0.14,0.15,0.11,0.07,0.11,"2,265,160",13,High,15101066.67,,,,,,
37,North Carolina,NC,0.135,0.15,0.11,0.07,0.12,"1,248,880",16,High,8325866.667,,,,,,
38,North Dakota,ND,0.109,0.08,0.06,0.03,0.06,"42,290",34,Medium,528625,,,,,,
39,Ohio,OH,0.133,0.15,0.12,0.05,0.12,"1,391,290",17,High,9275266.667,,,,,,
40,Oklahoma,OK,0.154,0.19,0.15,0.09,0.14,"561,640",9,High,2956000,,,,,,
41,Oregon,OR,0.122,0.12,0.06,0.07,0.11,"447,260",23,Medium,3727166.667,,,,,,
42,Pennsylvania,PA,0.12,0.12,0.06,0.05,0.09,"1,219,130",27,Medium,10159416.67,,,,,,
44,Rhode Island,RI,0.121,0.13,0.09,0.05,0.09,"102,130",24,Medium,785615.3846,,,,,,
45,South Carolina,SC,0.145,0.13,0.12,0.1,0.1,"515,350",10,High,3964230.769,,,,,,
46,South Dakota,SD,0.119,0.11,0.11,0.03,0.08,"72,900",29,Medium,662727.2727,,,,,,
47,Tennessee,TN,0.137,0.13,0.11,0.07,0.12,"800,970",15,High,6161307.692,,,,,,
48,Texas,TX,0.142,0.18,0.14,0.09,0.14,"4,057,910",11,High,22543944.44,,,,,,
49,Utah,UT,0.087,0.1,0.07,0.05,0.1,"316,980",50,Low,3169800,,,,,,
50,Vermont,VT,0.102,0.1,0.13,0.04,0.09,"57,150",44,Low,571500,,,,,,
51,Virginia,VA,0.103,0.09,0.07,0.05,0.08,"704,270",42,Low,7825222.222,,,,,,
53,Washington,WA,0.099,0.12,0.07,0.04,0.09,"688,170",47,Low,5734750,,,,,,
54,West Virginia,WV,0.168,0.14,0.14,0.1,0.12,"208,720",4,High,1490857.143,,,,,,
55,Wisconsin,WI,0.108,0.11,0.07,0.06,0.07,"427,380",36,Low,3885272.727,,,,,,
56,Wyoming,WY,0.106,0.12,0.08,0.07,0.11,"61,200",39,Low,510000,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
